,College_ID,Research Level,Competency,constructive_type_abv,scholarly_project,HDR_option,HDR_option_avail,Repeated_learning_YES_ID,Compulsory_YES_ID,project_category_ID,RPL,LEARNINGA_research_training,LEARNINGA_experienced_supervisor,LEARNINGA_experienced_supervisor_ID,activity_type
433,10,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
434,10,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
435,10,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
436,10,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
437,8,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
438,8,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
439,8,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
440,8,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
441,11,Using,Evaluating,Assessment,False,False,False,2 - No,1 - Yes,,False,False,False,,Supervisor report
442,11,Using,Evaluating,Assessment,False,False,False,2 - No,2 - No,,False,False,False,,Supervisor report
443,12,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
444,12,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
445,12,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
446,12,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
447,13,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
448,13,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
449,13,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
450,13,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
451,14,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
452,14,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
453,14,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
454,14,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
455,15,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
456,15,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
457,15,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
458,15,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
459,15,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
461,16,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
462,16,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
463,16,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
464,16,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
465,17,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
466,17,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
467,17,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
468,17,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
469,18,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
470,19,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
471,19,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
472,19,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
473,19,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
474,20,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
475,20,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
476,20,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
477,20,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
478,21,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
479,21,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
480,21,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
481,21,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
482,22,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
484,22,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Thesis or research-style WRITTEN report
488,22,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
489,22,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
490,22,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
491,22,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
492,24,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
493,24,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
494,24,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
495,24,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
496,25,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
497,25,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
498,25,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
499,25,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
500,23,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
501,23,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
502,23,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
503,23,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
504,23,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
505,23,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - FIRST author
506,26,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
507,26,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
508,26,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
509,26,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
510,27,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
511,27,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
512,27,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
513,27,Using,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Oral presentation - OTHER
514,27,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Proposal - WRITTEN
515,27,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
516,28,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
517,28,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
518,28,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
519,28,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
520,31,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
521,31,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
522,31,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
523,31,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
524,32,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
525,32,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
526,32,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
527,32,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
528,29,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
529,29,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
530,29,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
531,29,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
532,30,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
533,30,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
534,30,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
535,33,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
536,33,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
537,33,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
538,33,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
539,34,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
540,34,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
541,34,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
542,34,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
543,35,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
544,35,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
545,35,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
546,35,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
547,12,Using,Remembering,Activity,False,False,False,3 - Not specified,3 - Not specified,,False,False,False,,Journal Club
548,18,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,True,False,True,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
549,18,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Conference presentation - ORAL
550,18,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
551,18,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Supervisor report
552,5,Leading,Creating,Activity,True,False,False,2 - No,2 - No,1 - Only option,False,False,True,5 - Experienced research supervisor MANDATORY,Scholalry Project
553,5,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
554,5,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,WRITTEN Reflection
556,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
557,3,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
558,3,Using,Applying,Objective,False,False,False,,,,False,False,False,,
560,3,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
561,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
562,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
563,3,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
564,3,Using,Remembering,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Conference Attendence
565,3,Using,Creating,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Formal trainee education and training - LOCAL HOSP
566,3,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,,True,False,False,,Critical appraisal of journal article
567,3,Using,Creating,Activity,False,False,False,2 - No,1 - Yes,,True,False,False,,Critical review of clinical topic
568,3,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,3 - Supervisor required but no mention of RESEARCH experience,Scholalry Project
569,24,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
570,30,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
571,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
572,30,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
573,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
574,30,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
575,4,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
576,4,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
577,4,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
578,4,Using,Analysing,Objective,False,False,False,,,,False,False,False,,
579,4,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
580,4,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
581,4,Leading,Understanding,Objective,False,False,False,,,,False,False,False,,
582,4,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
583,4,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
584,4,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
585,4,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
586,4,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,3 - Supervisor required but no mention of RESEARCH experience,Scholalry Project
588,4,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Thesis or research-style WRITTEN report
589,4,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
592,48,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
593,48,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
594,48,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
596,47,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
597,47,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
598,47,Using,Applying,Objective,False,False,False,,,,False,False,False,,
599,47,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
600,48,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,4 - Experienced research supervisor ENCOURAGED,Scholalry Project
603,48,Using,Remembering,Activity,False,False,False,2 - No,1 - Yes,,False,False,False,,Conference Attendence
604,48,Leading,Understanding,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
605,48,Using,Evaluating,Activity,False,False,False,1 - Yes,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
606,48,Using,Evaluating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
607,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
608,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
609,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
610,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
611,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,,False,False,False,,Miscellaneous
612,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
613,48,Leading,Creating,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
614,48,Using,Analysing,Activity,False,False,False,2 - No,1 - Yes,3 - Points based system,False,True,False,,Formal trainee education and training - OTHER
615,47,Using,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,2 - Supervisor required but no details given,Scholalry Project
616,47,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,1 - Supervisor NOT required and/or mentioned,Scholalry Project
617,47,Using,Evaluating,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Critical appraisal of journal article
618,48,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,3 - Points based system,False,False,False,,Conference presentation - ORAL
619,48,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Publication - FIRST author
620,48,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Proposal - WRITTEN
622,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
624,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
625,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
627,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Publication - FIRST author
629,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
630,47,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - POSTER
631,47,Using,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,OTHER written report
632,47,Using,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Oral presentation - OTHER
650,1,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
651,1,Participating,Evaluating,Objective,False,False,False,,,,False,False,False,,
652,1,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
653,1,Using,Understanding,Activity,False,False,False,2 - No,1 - Yes,1 - Only option,False,True,False,,Formal trainee education and training - COLLEGE
654,1,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,2 - Supervisor required but no details given,Scholalry Project
657,1,Leading,Creating,Assessment,True,False,False,1 - Yes,1 - Yes,1 - Only option,False,False,False,,Conference presentation - ORAL
658,1,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
659,1,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
660,1,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - ANY author
661,44,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
662,44,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
663,44,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
666,44,Leading,Creating,Activity,True,False,True,2 - No,1 - Yes,1 - Only option,False,False,False,1 - Supervisor NOT required and/or mentioned,Scholalry Project
667,44,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Publication - FIRST author
668,44,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Conference presentation - ORAL
669,44,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,2 - Options based system,False,False,False,,Miscellaneous
670,46,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
671,46,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
672,46,Using,Remembering,Objective,False,False,False,,,,False,False,False,,
673,46,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
675,46,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
676,46,Leading,Creating,Activity,True,False,False,2 - No,1 - Yes,1 - Only option,True,False,False,5 - Experienced research supervisor MANDATORY,Scholalry Project
677,46,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Proposal - WRITTEN
678,46,Leading,Creating,Assessment,True,False,False,2 - No,1 - Yes,1 - Only option,False,False,False,,Thesis or research-style WRITTEN report
679,46,Using,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Oral presentation - OTHER
680,46,Leading,Creating,Assessment,True,False,False,2 - No,2 - No,1 - Only option,False,False,False,,Publication - FIRST or SECOND author
681,46,Using,Evaluating,Assessment,False,False,False,2 - No,1 - Yes,,False,False,False,,Written exam
682,44,Using,Creating,Objective,False,False,False,,,,False,False,False,,
683,44,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
684,44,Using,Evaluating,Activity,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Journal Club
685,44,Participating,Evaluating,Assessment,False,False,False,1 - Yes,1 - Yes,,False,False,False,,Supervisor report
687,49,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
688,49,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
689,49,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
690,49,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
691,49,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
692,49,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
693,49,Leading,Analysing,Objective,False,False,False,,,,False,False,False,,
694,49,Participating,Understanding,Objective,False,False,False,,,,False,False,False,,
695,49,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
696,50,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
697,50,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
698,50,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
699,50,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
700,50,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
701,50,Leading,Analysing,Objective,False,False,False,,,,False,False,False,,
702,50,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
703,52,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
704,52,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
707,52,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
709,52,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
710,55,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
711,55,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
712,55,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
713,55,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
714,55,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
715,55,Leading,Analysing,Objective,False,False,False,,,,False,False,False,,
716,55,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
717,56,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
718,56,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
719,56,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
720,56,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
721,56,Using,Applying,Objective,False,False,False,,,,False,False,False,,
722,56,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
723,56,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
724,56,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
725,57,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
726,57,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
727,57,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
728,57,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
729,57,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
730,57,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
731,57,Leading,Analysing,Objective,False,False,False,,,,False,False,False,,
733,54,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
734,53,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
735,53,Using,Understanding,Objective,False,False,False,,,,False,False,False,,
737,54,Using,Applying,Objective,False,False,False,,,,False,False,False,,
738,53,Using,Applying,Objective,False,False,False,,,,False,False,False,,
739,54,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
740,53,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
741,53,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
742,54,Participating,Applying,Objective,False,False,False,,,,False,False,False,,
743,54,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
744,53,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
745,53,Participating,Creating,Objective,False,False,False,,,,False,False,False,,
746,54,Leading,Analysing,Objective,False,False,False,,,,False,False,False,,
747,58,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
748,51,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
749,58,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
750,52,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
751,58,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
752,51,Using,Evaluating,Objective,False,False,False,,,,False,False,False,,
753,58,Leading,Creating,Objective,False,False,False,,,,False,False,False,,
